gameID,condition,study_phase,stimuli_set,puzzle_id,elo,mElo,sdElo,eloMin,eloMax,mElo_rank
8273-1e724496-a510-4044-8b65-2c0c58f341e6,enjoyable,posttest,A,Sokogen 34,-99,-92.888,4.9616604150298524,-100,-85,1
8273-1e724496-a510-4044-8b65-2c0c58f341e6,enjoyable,posttest,A,Sokogen 35,87,92.537,4.952692213348254,85,100,7
8273-1e724496-a510-4044-8b65-2c0c58f341e6,enjoyable,posttest,A,Sokogen 38,0,6.777,8.404993451211906,-7,21,6
8273-1e724496-a510-4044-8b65-2c0c58f341e6,enjoyable,pretest,C,Microba 17,-86,-92.926,4.617991971609492,-100,-86,2
8273-1e724496-a510-4044-8b65-2c0c58f341e6,enjoyable,pretest,C,Microba 26,0,-6.228,8.767490227247741,-21,7,3
8273-1e724496-a510-4044-8b65-2c0c58f341e6,enjoyable,pretest,C,Microba 43,100,99.704,4.621443685878041,93,107,8
8273-1e724496-a510-4044-8b65-2c0c58f341e6,enjoyable,pretest,C,Microco 28,-14,-0.419,10.327443783197015,-14,14,4
8273-1e724496-a510-4044-8b65-2c0c58f341e6,enjoyable,pretest,C,Sokogen 14,14,7.103,8.325004306106806,-7,22,6
8273-1e724496-a510-4044-8b65-2c0c58f341e6,enjoyable,pretest,C,Sokogen 40,0,0.455,5.91768485085122,-13,14,5
8273-1e724496-a510-4044-8b65-2c0c58f341e6,enjoyable,pretest,C,Sokogen 41,-100,-93.453,4.9580614531662786,-101,-86,1
8273-1e724496-a510-4044-8b65-2c0c58f341e6,enjoyable,pretest,C,Sokogen 46,86,85.764,4.759301939880978,78,93,7
8328-a622e708-bdac-44f2-963e-cce2caa58ee6,difficult,posttest,A,Microba 104,8,-0.492,10.446581597205222,-14,14,4
8328-a622e708-bdac-44f2-963e-cce2caa58ee6,difficult,posttest,A,Microba 67,-15,-6.169,8.496506907525577,-22,7,3
8328-a622e708-bdac-44f2-963e-cce2caa58ee6,difficult,posttest,A,Sokogen 13,-80,-85.786,4.818861424177423,-93,-78,2
8328-a622e708-bdac-44f2-963e-cce2caa58ee6,difficult,posttest,A,Sokogen 18,87,93.051,4.612122143945315,86,100,7
8328-a622e708-bdac-44f2-963e-cce2caa58ee6,difficult,posttest,A,Sokogen 32,-100,-100.157,4.550280876611471,-107,-93,1
8328-a622e708-bdac-44f2-963e-cce2caa58ee6,difficult,posttest,A,Sokogen 34,7,6.269,8.815460926766761,-7,21,6
8328-a622e708-bdac-44f2-963e-cce2caa58ee6,difficult,posttest,A,Sokogen 35,0,-0.03,5.922176303705604,-14,13,5
8328-a622e708-bdac-44f2-963e-cce2caa58ee6,difficult,posttest,A,Sokogen 38,93,93.314,4.821062812974602,86,101,8
8328-a622e708-bdac-44f2-963e-cce2caa58ee6,difficult,pretest,C,Microba 17,1,0.23,6.076678864809796,-13,14,5
8328-a622e708-bdac-44f2-963e-cce2caa58ee6,difficult,pretest,C,Microba 26,-6,-6.367,8.250841616913238,-21,7,3
8328-a622e708-bdac-44f2-963e-cce2caa58ee6,difficult,pretest,C,Microba 43,-101,-99.778,4.577517850284135,-107,-93,1
8328-a622e708-bdac-44f2-963e-cce2caa58ee6,difficult,pretest,C,Microco 28,0,-0.161,5.899820919899772,-14,14,4
8328-a622e708-bdac-44f2-963e-cce2caa58ee6,difficult,pretest,C,Sokogen 14,100,99.237,4.379270374047372,93,106,8
8328-a622e708-bdac-44f2-963e-cce2caa58ee6,difficult,pretest,C,Sokogen 40,7,6.414,8.424938194644733,-7,20,6
8328-a622e708-bdac-44f2-963e-cce2caa58ee6,difficult,pretest,C,Sokogen 41,93,93.15,5.063708240128086,85,101,7
8328-a622e708-bdac-44f2-963e-cce2caa58ee6,difficult,pretest,C,Sokogen 46,-94,-92.725,4.8710473311293185,-100,-85,2
8389-197c7ad0-ade1-4b93-bbb5-738698744142,difficult,posttest,A,Microba 104,-6,-0.369,5.8880819040251495,-14,13,4
8389-197c7ad0-ade1-4b93-bbb5-738698744142,difficult,posttest,A,Microba 67,1,7.256,8.194242467099048,-7,21,6
8389-197c7ad0-ade1-4b93-bbb5-738698744142,difficult,posttest,A,Sokogen 13,-93,-99.254,4.4399546390922975,-106,-93,1
8389-197c7ad0-ade1-4b93-bbb5-738698744142,difficult,posttest,A,Sokogen 18,-100,-92.839,5.20520635260249,-101,-85,2
8389-197c7ad0-ade1-4b93-bbb5-738698744142,difficult,posttest,A,Sokogen 32,-7,-0.296,6.165257042037625,-14,14,5
8389-197c7ad0-ade1-4b93-bbb5-738698744142,difficult,posttest,A,Sokogen 34,0,-6.835,8.311489388542592,-20,7,3
8389-197c7ad0-ade1-4b93-bbb5-738698744142,difficult,posttest,A,Sokogen 35,106,99.496,4.690840861507446,93,107,8
8389-197c7ad0-ade1-4b93-bbb5-738698744142,difficult,posttest,A,Sokogen 38,99,92.841,4.8040397373250086,85,100,7
8389-197c7ad0-ade1-4b93-bbb5-738698744142,difficult,pretest,B,Dimitri 37,105,99.328,4.485145764914733,93,106,8
8389-197c7ad0-ade1-4b93-bbb5-738698744142,difficult,pretest,B,Microba 33,-4,0.178,6.245424030546011,-13,14,5
8389-197c7ad0-ade1-4b93-bbb5-738698744142,difficult,pretest,B,Microba 41,-6,-6.925,8.521266747789719,-21,7,3
8389-197c7ad0-ade1-4b93-bbb5-738698744142,difficult,pretest,B,Microba 48,-87,-92.484,4.715504212698797,-100,-85,2
8389-197c7ad0-ade1-4b93-bbb5-738698744142,difficult,pretest,B,Sokogen 17,-101,-99.573,4.678093153791988,-107,-93,1
8389-197c7ad0-ade1-4b93-bbb5-738698744142,difficult,pretest,B,Sokogen 19,7,6.535,8.327792452212469,-7,20,6
8389-197c7ad0-ade1-4b93-bbb5-738698744142,difficult,pretest,B,Sokogen 39,-7,0.138,6.0328559862930184,-14,14,4
8389-197c7ad0-ade1-4b93-bbb5-738698744142,difficult,pretest,B,Sokogen 6,93,92.803,5.045160517232795,85,101,7
8434-afec4833-f835-4abb-8008-d4d2a46783b0,enjoyable,posttest,C,Microba 17,21,7.024,8.27961206675627,-7,22,6
8434-afec4833-f835-4abb-8008-d4d2a46783b0,enjoyable,posttest,C,Microba 26,-99,-99.922,4.846586985230474,-108,-93,1
8434-afec4833-f835-4abb-8008-d4d2a46783b0,enjoyable,posttest,C,Microba 43,14,7.191,8.330180724984965,-7,22,7
8434-afec4833-f835-4abb-8008-d4d2a46783b0,enjoyable,posttest,C,Microco 28,7,-6.587,8.580796062199694,-22,7,3
8434-afec4833-f835-4abb-8008-d4d2a46783b0,enjoyable,posttest,C,Sokogen 14,-14,-0.402,10.301967119270284,-14,14,4
8434-afec4833-f835-4abb-8008-d4d2a46783b0,enjoyable,posttest,C,Sokogen 40,93,99.919,4.638313589328877,93,108,8
8434-afec4833-f835-4abb-8008-d4d2a46783b0,enjoyable,posttest,C,Sokogen 41,-14,-7.548,8.718928587602697,-22,7,2
8434-afec4833-f835-4abb-8008-d4d2a46783b0,enjoyable,posttest,C,Sokogen 46,-8,0.325,10.309202425728893,-14,14,5
8434-afec4833-f835-4abb-8008-d4d2a46783b0,enjoyable,pretest,B,Dimitri 37,-100,-99.314,4.451653762504568,-106,-93,1
8434-afec4833-f835-4abb-8008-d4d2a46783b0,enjoyable,pretest,B,Microba 33,-86,-86.418,4.62002387662886,-93,-79,2
8434-afec4833-f835-4abb-8008-d4d2a46783b0,enjoyable,pretest,B,Microba 41,-7,-0.187,6.061086352112791,-14,13,5
8434-afec4833-f835-4abb-8008-d4d2a46783b0,enjoyable,pretest,B,Microba 48,82,86.688,4.4499953324086325,80,93,6
8434-afec4833-f835-4abb-8008-d4d2a46783b0,enjoyable,pretest,B,Sokogen 17,99,93.167,4.690961107930473,86,100,8
8434-afec4833-f835-4abb-8008-d4d2a46783b0,enjoyable,pretest,B,Sokogen 19,93,92.809,4.4775626815899985,86,100,7
8434-afec4833-f835-4abb-8008-d4d2a46783b0,enjoyable,pretest,B,Sokogen 39,-81,-86.193,4.637160149731113,-93,-79,3
8434-afec4833-f835-4abb-8008-d4d2a46783b0,enjoyable,pretest,B,Sokogen 6,0,-0.552,6.081305639275013,-14,13,4
8475-dd21c2f8-4a8b-42ef-bf55-2d07f3471d53,enjoyable,posttest,C,Microba 17,93,93.279,4.957391928699464,86,101,7
8475-dd21c2f8-4a8b-42ef-bf55-2d07f3471d53,enjoyable,posttest,C,Microba 26,7,6.34,8.332336276689022,-7,20,6
8475-dd21c2f8-4a8b-42ef-bf55-2d07f3471d53,enjoyable,posttest,C,Microba 43,-87,-85.922,4.9303371308891615,-93,-78,2
8475-dd21c2f8-4a8b-42ef-bf55-2d07f3471d53,enjoyable,posttest,C,Microco 28,19,5.911,8.192325261681976,-7,20,5
8475-dd21c2f8-4a8b-42ef-bf55-2d07f3471d53,enjoyable,posttest,C,Sokogen 14,-101,-100.097,4.902410083277871,-108,-93,1
8475-dd21c2f8-4a8b-42ef-bf55-2d07f3471d53,enjoyable,posttest,C,Sokogen 40,-6,-6.798,8.472483636985018,-21,7,3
8475-dd21c2f8-4a8b-42ef-bf55-2d07f3471d53,enjoyable,posttest,C,Sokogen 41,-13,-6.214,8.263927425655186,-21,7,4
8475-dd21c2f8-4a8b-42ef-bf55-2d07f3471d53,enjoyable,posttest,C,Sokogen 46,88,93.501,4.734597703650802,86,101,8
